name,director
Snow White and the Seven Dwarfs,David Hand
Fantasia,full credits
Dumbo,Ben Sharpsteen
Bambi,David Hand
Saludos Amigos,Jack Kinney
The Three Caballeros,Norman Ferguson
Make Mine Music,Jack Kinney
Fun and Fancy Free,Jack Kinney
Melody Time,Clyde Geronimi
The Adventures of Ichabod and Mr. Toad,Jack Kinney
Cinderella,Wilfred Jackson
Alice in Wonderland,Clyde Geronimi
Peter Pan,Hamilton Luske
Lady and the Tramp,Hamilton Luske
The Sword in the Stone,Wolfgang Reitherman
The Aristocats,Wolfgang Reitherman
Robin Hood,Wolfgang Reitherman
The Many Adventures of Winnie the Pooh,Wolfgang Reitherman
The Rescuers,Wolfgang Reitherman
The Fox and the Hound,Art Stevens
The Black Cauldron,Ted Berman
The Great Mouse Detective,Ron Clements
The Little Mermaid,Ron Clements
The Rescuers Down Under,Mike Gabriel
Beauty and the Beast,Gary Trousdale
Aladdin,Ron Clements
The Hunchback of Notre Dame,Gary Trousdale
Hercules,Ron Clements
Mulan,Barry Cook
Tarzan,Chris Buck
Fantasia 2000,full credits
Dinosaur,Ralph Zondag
The Emperor's New Groove,Mark Dindal
Atlantis: The Lost Empire,Gary Trousdale
Lilo & Stitch,Chris Sanders
Treasure Planet,Ron Clements
Brother Bear,Robert Walker
Home on the Range,Will Finn
Meet the Robinsons,Stephen J. Anderson
The Princess and the Frog,Ron Clements
Tangled,Nathan Greno
Winnie the Pooh,Stephen J. Anderson
Wreck-It Ralph,Rich Moore
Frozen,Chris Buck
Zootopia,Byron Howard
